Comune;Provincia;Tipologia;Stelle;Nome;Telefono;Indirizzo;CAP;Citta;Sigla provincia;Indirizzo posta elettronica;Indirizzo internet;Codice esercizio;Id;Latitudine;Longitudine
AULLA;MASSA-CARRARA;Affittacamere;0;VILLA MIMOSA;0039-0187-415052;Via MAESTRO FERRARI 7 - Loc. Albiano Magra;54011;Aulla;MS;;;045001AFR0003;13832;441741291;99122863
AULLA;MASSA-CARRARA;Agriturismi;2;FIORENTINI GIANLUCA;0039-347-0526169;sanacco, 1 - Loc. Quercia;54010;Aulla;MS;;;045001AAT0014;13843;442166706;99674972
AULLA;MASSA-CARRARA;Agriturismi;2;LA SELVA;0039-329-7050195;Selva, 0 - Loc. Selva;54011;Aulla;MS;;;045001AAT0013;13924;442166706;99674972
AULLA;MASSA-CARRARA;Agriturismi;2;MONTEBELLO;0187-418993;Via COLLINA 7 - Loc. Olivola;54011;Aulla;MS;agri.montebello@libero.it;;045001AAT0011;13989;4422548;10029412
AULLA;MASSA-CARRARA;Agriturismi;2;VALLE FIORITA;0039-0187-471325;Via AIA DI BELLONE - Loc. Valenza;54011;Aulla;MS;putamorsi@libero.it;www.agriturismovallefiorita.com;045001AAT0012;13820;442256165;10018137
AULLA;MASSA-CARRARA;Agriturismi;3;FORNI ROSAIA;;PIAZZA PUCCINI 1 - Loc. Olivola;54011;Aulla;MS;luciar.72@gmail.com;;045001AAT0001;14017;442270032999999;100292238
AULLA;MASSA-CARRARA;Agriturismi;3;POW WOW DI GRULLI ARISTIDE;0039-388-9770977;San Domenico la Cavana, 0 - Loc. Bigliolo;54011;Aulla;MS;info@powwowlunae.it;www.powwowlunae.it;045001AAT0006;13995;442320611;100497775
AULLA;MASSA-CARRARA;Alberghi - Hotel;2;PASQUINO;0039-0187-420509;PIAZZA MAZZINI 22 - Fraz. pippo;54011;Aulla;MS;;;045001ALB0003;13717;442166706;99674972
AULLA;MASSA-CARRARA;Alberghi - Hotel;3;DEMY;0039-0187-408370;Via Salucci, 9;54011;Aulla;MS;info@demyhotel.it;www.demyhotel.it;045001ALB0002;13783;44215124;99673911
AULLA;MASSA-CARRARA;Alloggi Privati;0;B&B LO SPIGO;0039-339-5845242;Via MONTE BARDELLI - Loc. Bigliolo;54011;Aulla;MS;info@lospigo.it;www.lospigo.it;045001ALL0006;13803;442320611;100497775
AULLA;MASSA-CARRARA;Alloggi Privati;0;CASA BARANI;0039-347-4657930;Via SPRINI 7/A - Fraz. Sprini;54010;Aulla;MS;odilbar47@libero.it;www.bbplanet.it;045001ALL0003;13848;442055325999999;99698068
AULLA;MASSA-CARRARA;Alloggi Privati;0;CASA RO';0039-0187-415439;Via Amola, 18 - Loc. Albiano Magra;54011;Aulla;MS;perst16libero.it;;045001ALL0012;21952;441741291;99122863
AULLA;MASSA-CARRARA;Alloggi Privati;0;Cà di Megoto;0039-0187-418296;Via COLLINA 8 - Loc. Olivola;54011;Aulla;MS;cadimegoto@lunigiana.net;www.lunigiana.net/bedandbreakfast/cadimegoto.it;045001ALL0005;14000;4422548;10029412
AULLA;MASSA-CARRARA;Alloggi Privati;0;IL MELOGRANO;0039-0187-415184;Libertà, 14/F - Loc. AULLA - Fraz. Albiano Magra;54010;Aulla;MS;ilmelogranobeb@hotmail.it;;045001ALL0010;17369;442166706;99674972
AULLA;MASSA-CARRARA;Alloggi Privati;0;LOCANDA DI PRATOMEDICI;0039-347-1352352;Via PRATOMEDICI 13 - Loc. Bigliolo;54011;Aulla;MS;locandapratomedici@virgilio.it;;045001ALL0004;14021;442055325999999;99698068
AULLA;MASSA-CARRARA;Case per Vacanze;0;LE ROCCAGLIE;0039-0187-415087;Saigola, 8;54011;Aulla;MS;info@leroccaglie.it;www.leroccaglie.it;045001CAV0003;17871;44188154;99395417
AULLA;MASSA-CARRARA;Case per Vacanze;0;MULINO DI RIPA;0039-055-293376;Molino, 1 - Loc. Quercia;54011;Aulla;MS;stefanocresci@virgilio.it;www.tuscanhideaways.com;045001CAV0001;13778;442313602;100062529
BAGNONE;MASSA-CARRARA;Affittacamere;0;RUZZI FRANCESCA;0039-0187-429670;Piazza Marconi, 1 - Loc. BAGNONE;54021;Bagnone;MS;;;045002AFR0001;13829;443146799;99945108
BAGNONE;MASSA-CARRARA;Agriturismi;2;AL VECCHIO PODERE;0039-339-2953635;Mochignano di Sotto - Loc. Bagnone - Fraz. Mochignano;54021;Bagnone;MS;negrari93@virgilio.it;;045002AAT0008;22383;443146799;99945108
BAGNONE;MASSA-CARRARA;Agriturismi;2;CA' DEL SASSO;;;54021;Bagnone;MS;;;045002AAT0005;13771;442881418999999;999826709999999
BAGNONE;MASSA-CARRARA;Agriturismi;2;FATTORIA DEL DEGLIO;0039-0187-421322;Stagnai, 0 - Fraz. Deglio;54021;Bagnone;MS;lucy70b@libero.it;;045002AAT0006;13831;443171932999999;100135929
BAGNONE;MASSA-CARRARA;Agriturismi;2;GIUNASCO;0187-427019;Giunasco - Loc. Orturano;54021;Bagnone;MS;monique@giunasco.it;www.giunasco.it;045002AAT0002;14053;443153196;99956531
BAGNONE;MASSA-CARRARA;Agriturismi;2;LA VALLE DELLA LUNA BIO;0187-494684;Vallescura, 2 - Loc. Vallescura;54021;Bagnone;MS;info@lavalledellalunabio.it;www.lavalledellalunabio.it;045002AAT0007;20513;443146799;99945108
BAGNONE;MASSA-CARRARA;Alloggi Privati;0;B&B BAGNONEVILLAGE;0039-347-0418623;Grott? , 21 - Fraz. Bergiola;54021;Bagnone;MS;info@alnidodelcuculo.com;www.bagnonevillage.it;045002ALL0002;14024;443146799;99945108
BAGNONE;MASSA-CARRARA;Alloggi Privati;0;B&B POGGIO DELLE RONDINI;0039-0187-429426;Via MOCHIGNANO CHIESA 6;54021;Bagnone;MS;mail@poggiodellerondini.it;www.poggiodellerondini.it;045002ALL0001;13920;443153196;99956531
BAGNONE;MASSA-CARRARA;Alloggi Privati;0;B&B UVA FRAGOLA;0039-342-8856484;Via Seregnone, 4 - Loc. Corlaga;54021;Bagnone;MS;info@uva-fragola.it;www.bnb.uva-fragola.it;045002ALL0003;22438;443325904;99950694
BAGNONE;MASSA-CARRARA;Case per Vacanze;0;ANTICHE DIMORE DEL TERZIERE;0039-0187-429100;Via del Borgo - Loc. Castiglione del Terziere;54021;Bagnone;MS;info@dimoredelterziere.com;www.dimoredelterziere.com;045002CAV0002;17872;443146799;99945108
